initial,pulse,tau,state,real,imag,probability
"|0,01>",atom_pi_1,0.03773584905660378,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.03773584905660378,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.04402515723270441,"|0,01>",0.9976098845685687,1.9230638646076512e-07,0.99522548178895
"|0,01>",atom_pi_1,0.04402515723270441,"|r,01>",-8.339046432537439e-06,-0.06909320154805812,0.004773870569700276
"|0,01>",atom_pi_1,0.04402515723270441,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.04402515723270441,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.050314465408805034,"|0,01>",0.9968786406249062,2.8700398771054547e-07,0.9937670241342431
"|0,01>",atom_pi_1,0.050314465408805034,"|r,01>",-1.0888403931891207e-05,-0.07894220225223661,0.006231871414990371
"|0,01>",atom_pi_1,0.050314465408805034,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.050314465408805034,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.05660377358490566,"|0,01>",0.9960501377037919,4.08557319023037e-07,0.9921158768199099
"|0,01>",atom_pi_1,0.05660377358490566,"|r,01>",-1.377574349698835e-05,-0.08878262551763809,0.007882354783576271
"|0,01>",atom_pi_1,0.05660377358490566,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.05660377358490566,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.06289308176100629,"|0,01>",0.9951244658245705,5.603018750998734e-07,0.9902727024829507
"|0,01>",atom_pi_1,0.06289308176100629,"|r,01>",-1.7000341394326068e-05,-0.09861340242899778,0.009724603427635075
"|0,01>",atom_pi_1,0.06289308176100629,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.06289308176100629,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.06918238993710692,"|0,01>",0.9941017255610559,7.45565582519652e-07,0.9882382407640248
"|0,01>",atom_pi_1,0.06918238993710692,"|r,01>",-2.0561389254867368e-05,-0.10843346522231835,0.011757816802890451
"|0,01>",atom_pi_1,0.06918238993710692,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.06918238993710692,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.07547169811320756,"|0,01>",0.9929820280295285,9.676679644279546e-07,0.9860133079905717
"|0,01>",atom_pi_1,0.07547169811320756,"|r,01>",-2.4457994243665147e-05,-0.11824174741226717,0.013981111429299874
"|0,01>",atom_pi_1,0.07547169811320756,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.07547169811320756,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.08176100628930819,"|0,01>",0.9917654948754744,1.2299193069907277e-06,0.9835987968271073
"|0,01>",atom_pi_1,0.08176100628930819,"|r,01>",-2.8689179247216675e-05,-0.12803718391941019,0.016393521289081874
"|0,01>",atom_pi_1,0.08176100628930819,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.08176100628930819,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.08805031446540881,"|0,01>",0.9904522582590685,1.5356198277860148e-06,0.9809956758928465
"|0,01>",atom_pi_1,0.08805031446540881,"|r,01>",-3.325388307851106e-05,-0.137818711197264,0.0189939982618956
"|0,01>",atom_pi_1,0.08805031446540881,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.08805031446540881,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.09433962264150944,"|0,01>",0.989042460839403,1.8880588463086207e-06,0.9782049893468269
"|0,01>",atom_pi_1,0.09433962264150944,"|r,01>",-3.815096069972894e-05,-0.14758526735915137,0.021781412596967992
"|0,01>",atom_pi_1,0.09433962264150944,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.09433962264150944,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.10062893081761007,"|0,01>",0.9875362557574644,2.290513956761902e-06,0.9752278564407185
"|0,01>",atom_pi_1,0.10062893081761007,"|r,01>",-4.337918346254998e-05,-0.1573357923048443,0.02475455342194666
"|0,01>",atom_pi_1,0.10062893081761007,"|1,01>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.10062893081761007,"|1,10>",0.0,0.0,0.0
"|0,01>",atom_pi_1,0.1069182389937107,"|0,01>",0.9859338066178605,2.7462502033103628e-06,0.9720654710395265
"|0,01>",atom_pi_1,0.1069182389937107,"|r,01>",-4.8937239366019806e-05,-0.16706922784697542,0.02791212928823798
